Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2023,Cell Migration Involved In Sprouting Angiogenesis (GO:0002042),2/17,0.2235742997097033,0.7317456537600887,0,0,2.409033078880407,3.608759215074346,EPHB4;VEGFA
GO_Biological_Process_2023,Cellular Response To Glucocorticoid Stimulus (GO:0071385),2/17,0.2235742997097033,0.7317456537600887,0,0,2.409033078880407,3.608759215074346,SSTR2;AQP1
GO_Biological_Process_2023,Intracellular Estrogen Receptor Signaling Pathway (GO:0030520),2/17,0.2235742997097033,0.7317456537600887,0,0,2.409033078880407,3.608759215074346,ESR2;PPARGC1B
GO_Biological_Process_2023,Leukocyte Tethering Or Rolling (GO:0050901),2/17,0.2235742997097033,0.7317456537600887,0,0,2.409033078880407,3.608759215074346,VCAM1;GCNT1
GO_Biological_Process_2023,Myeloid Cell Activation Involved In Immune Response (GO:0002275),2/17,0.2235742997097033,0.7317456537600887,0,0,2.409033078880407,3.608759215074346,SBNO2;MYO1C
GO_Biological_Process_2023,Negative Regulation Of Calcium Ion Transport (GO:0051926),2/17,0.2235742997097033,0.7317456537600887,0,0,2.409033078880407,3.608759215074346,SLN;STC1
GO_Biological_Process_2023,Negative Regulation Of Striated Muscle Cell Differentiation (GO:0051154),2/17,0.2235742997097033,0.7317456537600887,0,0,2.409033078880407,3.608759215074346,FZD7;NKX2-5
GO_Biological_Process_2023,Negative Regulation Of Ubiquitin-Protein Transferase Activity (GO:0051444),2/17,0.2235742997097033,0.7317456537600887,0,0,2.409033078880407,3.608759215074346,BUB1B;FBXO5
GO_Biological_Process_2023,Nicotinamide Nucleotide Metabolic Process (GO:0046496),2/17,0.2235742997097033,0.7317456537600887,0,0,2.409033078880407,3.608759215074346,TP53I3;KRT17
GO_Biological_Process_2023,Polyol Metabolic Process (GO:0019751),2/17,0.2235742997097033,0.7317456537600887,0,0,2.409033078880407,3.608759215074346,INPP5J;SLC5A3
GO_Biological_Process_2023,Positive Chemotaxis (GO:0050918),2/17,0.2235742997097033,0.7317456537600887,0,0,2.409033078880407,3.608759215074346,CX3CL1;VEGFA
GO_Biological_Process_2023,Positive Regulation Of Cell Adhesion Mediated By Integrin (GO:0033630),2/17,0.2235742997097033,0.7317456537600887,0,0,2.409033078880407,3.608759215074346,PODXL;LIF
GO_Biological_Process_2023,Positive Regulation Of Dendrite Morphogenesis (GO:0050775),2/17,0.2235742997097033,0.7317456537600887,0,0,2.409033078880407,3.608759215074346,OBSL1;DBN1
GO_Biological_Process_2023,Positive Regulation Of Glial Cell Differentiation (GO:0045687),2/17,0.2235742997097033,0.7317456537600887,0,0,2.409033078880407,3.608759215074346,MDK;CLCF1
GO_Biological_Process_2023,Positive Regulation Of Small GTPase Mediated Signal Transduction (GO:0051057),2/17,0.2235742997097033,0.7317456537600887,0,0,2.409033078880407,3.608759215074346,SRC;TGM2
GO_Biological_Process_2023,Prostaglandin Biosynthetic Process (GO:0001516),2/17,0.2235742997097033,0.7317456537600887,0,0,2.409033078880407,3.608759215074346,PTGIS;PTGES
GO_Biological_Process_2023,Regulation Of Brown Fat Cell Differentiation (GO:0090335),2/17,0.2235742997097033,0.7317456537600887,0,0,2.409033078880407,3.608759215074346,PIM1;SIX1
GO_Biological_Process_2023,Regulation Of Cartilage Development (GO:0061035),2/17,0.2235742997097033,0.7317456537600887,0,0,2.409033078880407,3.608759215074346,MDK;PTHLH
GO_Biological_Process_2023,Regulation Of Delayed Rectifier Potassium Channel Activity (GO:1902259),2/17,0.2235742997097033,0.7317456537600887,0,0,2.409033078880407,3.608759215074346,KCNG1;KCNE2
GO_Biological_Process_2023,Regulation Of Inflammatory Response To Antigenic Stimulus (GO:0002861),2/17,0.2235742997097033,0.7317456537600887,0,0,2.409033078880407,3.608759215074346,SRC;PLK2
GO_Biological_Process_2023,Regulation Of Oxidative Phosphorylation (GO:0002082),2/17,0.2235742997097033,0.7317456537600887,0,0,2.409033078880407,3.608759215074346,SHMT2;NUPR1
GO_Biological_Process_2023,Ribosomal Small Subunit Assembly (GO:0000028),2/17,0.2235742997097033,0.7317456537600887,0,0,2.409033078880407,3.608759215074346,RPS19;RPS5
GO_Biological_Process_2023,Sensory Perception Of Taste (GO:0050909),2/17,0.2235742997097033,0.7317456537600887,0,0,2.409033078880407,3.608759215074346,SCNN1B;ITPR3
GO_Biological_Process_2023,Transepithelial Transport (GO:0070633),2/17,0.2235742997097033,0.7317456537600887,0,0,2.409033078880407,3.608759215074346,ABCC1;CLCNKB
GO_Biological_Process_2023,Peptidyl-Lysine Modification (GO:0018205),7/94,0.2237557987298466,0.7317456537600887,0,0,1.4551415567384094,2.17863794755518,LOX;BCL11A;LOXL4;P3H4;P3H3;STX1A;LOXL2
GO_Biological_Process_2023,Cell Junction Organization (GO:0034330),5/62,0.2252967565831856,0.7317456537600887,0,0,1.5859145471333838,2.363546855080909,MARVELD2;PTK7;MARVELD3;SNCB;PPFIA4
GO_Biological_Process_2023,Cell Junction Assembly (GO:0034329),7/95,0.2315427184490289,0.7317456537600887,0,0,1.438529591214155,2.1045556920366137,GJC1;CDH5;SDK1;PARD6B;SPOCK2;FN1;PCDHB9
GO_Biological_Process_2023,Regulation Of Macromolecule Metabolic Process (GO:0060255),11/162,0.2319485811359719,0.7317456537600887,0,0,1.318059264830549,1.9260003466727296,TRIM17;CDK4;MYC;CDK2;ZFP64;IGF2BP3;IGF2BP2;MEGF8;CRIP1;TSKU;PTHLH
GO_Biological_Process_2023,Cellular Response To Oxygen-Containing Compound (GO:1901701),25/406,0.2320962662069927,0.7317456537600887,0,0,1.1887203123999743,1.7362485172553663,IRS1;CXCL3;CXCL2;AQP1;SBNO2;SESN2;ROMO1;GBP2;WNT3;TGM2;SYT5;IGFBP5;FZD7;TPM1;SSTR2;SYT7;ITPKC;CXCL10;TNIP1;PTK7;CDK2;RARA;VIM;FOLR1;EPHA3
GO_Biological_Process_2023,Bicellular Tight Junction Assembly (GO:0070830),4/47,0.2321989117398482,0.7317456537600887,0,0,1.6814442616390235,2.4551791604317,CDH5;MARVELD2;MARVELD3;CLDN7
GO_Biological_Process_2023,Epithelial To Mesenchymal Transition (GO:0001837),4/47,0.2321989117398482,0.7317456537600887,0,0,1.6814442616390235,2.4551791604317,HEY1;SNAI2;S100A4;LOXL2
GO_Biological_Process_2023,Negative Regulation Of Tumor Necrosis Factor Production (GO:0032720),4/47,0.2321989117398482,0.7317456537600887,0,0,1.6814442616390235,2.4551791604317,MC1R;ELF4;RARA;CX3CL1
GO_Biological_Process_2023,Regulation Of Wound Healing (GO:0061041),4/47,0.2321989117398482,0.7317456537600887,0,0,1.6814442616390235,2.4551791604317,ANXA1;TNFRSF12A;CAV1;F2R
