Ensembl Gene ID,Gene Name,log2(Fold Change),adjusted p,biotype,direction
ENSG00000259575,AC012404.2,-2.02303236358632,0.00930090922317897,antisense_RNA,Downregulated
ENSG00000274461,AL391425.1,-2.01880658349597,0.011547696398125,processed_transcript,Downregulated
ENSG00000143839,REN,-2.01457510390231,0.0459004454414467,protein_coding,Downregulated
ENSG00000204179,PTPN20,-2.01257209015245,0.0245681650410697,protein_coding,Downregulated
ENSG00000275155,AC027348.1,-2.01112037421246,0.0484915145277557,sense_intronic,Downregulated
ENSG00000237757,EEF1A1P30,-2.01044541546397,0.0273019786446114,processed_pseudogene,Downregulated
ENSG00000236756,DNAJC9-AS1,-2.01042782276526,0.0190511844007531,antisense_RNA,Downregulated
ENSG00000166839,ANKDD1A,-2.01031479448169,0.000128181051284872,protein_coding,Downregulated
ENSG00000283563,AC098650.1,-2.0085119475561,0.0117878905354482,protein_coding,Downregulated
ENSG00000262020,AC007014.1,-2.00187517000491,0.00571587796880723,antisense_RNA,Downregulated
ENSG00000214456,PLIN5,-2.00048670611434,9.87956073155356e-06,protein_coding,Downregulated
ENSG00000224204,PHEX-AS1,-1.99788689999044,0.02613269196672,antisense_RNA,Downregulated
ENSG00000214402,LCNL1,-1.99243371807615,0.00193232549990757,protein_coding,Downregulated
ENSG00000138271,GPR87,-1.99210526506199,0.00451614706979632,protein_coding,Downregulated
ENSG00000276649,AL117335.1,-1.98288320924237,1.75879178495707e-06,antisense_RNA,Downregulated
ENSG00000233579,KRT8P15,-1.97719417053795,0.0480070488612736,processed_pseudogene,Downregulated
ENSG00000275437,AL121832.3,-1.97445207721968,0.0268262915512465,sense_intronic,Downregulated
ENSG00000244610,RN7SL756P,-1.96733054703715,0.0206549152158714,misc_RNA,Downregulated
